"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US510010907005","Block Group 5, Census Tract 907, Accomack County, Virginia","1591","null","432","null","915","null","261","null","623","359","null","null","0","13","null","null","0","null","13","null","0","null","13","null","15","null","22","null","38","38","null","null","17","null","27","null","21","null","29","null",
"1500000US510010908001","Block Group 1, Census Tract 908, Accomack County, Virginia","683","null","249","null","488","null","144","null","195","201","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010908002","Block Group 2, Census Tract 908, Accomack County, Virginia","1554","null","524","null","683","null","220","null","826","501","null","null","0","13","null","null","0","null","13","null","0","null","13","null","25","null","22","null","20","23","null","null","20","null","23","null","0","null","13","null",
"1500000US510010908003","Block Group 3, Census Tract 908, Accomack County, Virginia","1221","null","435","null","374","null","154","null","830","410","null","null","16","29","null","null","0","null","13","null","0","null","13","null","0","null","13","null","1","3","null","null","0","null","13","null","1","null","3","null",
"1500000US510019801001","Block Group 1, Census Tract 9801, Accomack County, Virginia","24","null","28","null","24","null","28","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510019802001","Block Group 1, Census Tract 9802, Accomack County, Virginia","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510019901000","Block Group 0, Census Tract 9901, Accomack County, Virginia","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510019902000","Block Group 0, Census Tract 9902, Accomack County, Virginia","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510030101001","Block Group 1, Census Tract 101, Albemarle County, Virginia","2101","null","513","null","1672","null","417","null","131","98","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","298","207","null","null","298","null","207","null","0","null","13","null",
"1500000US510030101002","Block Group 2, Census Tract 101, Albemarle County, Virginia","922","null","341","null","839","null","329","null","8","21","null","null","1","14","null","null","0","null","13","null","0","null","13","null","5","null","10","null","69","75","null","null","0","null","13","null","69","null","75","null",
"1500000US510030101003","Block Group 3, Census Tract 101, Albemarle County, Virginia","1726","null","450","null","1694","null","447","null","0","13","null","null","0","13","null","null","9","null","16","null","0","null","13","null","0","null","13","null","23","37","null","null","23","null","37","null","0","null","13","null",
