"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_001MA","B01002_001EA","B01002_002E","B01002_002EA","B01002_002M","B01002_002MA","B01002_003E","B01002_003M","B01002_003MA","B01002_003EA",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Annotation of Margin of Error!!Median age --!!Total:","Annotation of Estimate!!Median age --!!Total:","Estimate!!Median age --!!Male","Annotation of Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Annotation of Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female","Annotation of Margin of Error!!Median age --!!Female","Annotation of Estimate!!Median age --!!Female",
"1500000US510411009193","Block Group 3, Census Tract 1009.19, Chesterfield County, Virginia","37.4","4.8","null","null","35.8","null","7.7","null","42.8","5.4","null","null",
"1500000US510411009201","Block Group 1, Census Tract 1009.20, Chesterfield County, Virginia","41.9","5.4","null","null","39.0","null","6.4","null","44.4","5.7","null","null",
"1500000US510411009211","Block Group 1, Census Tract 1009.21, Chesterfield County, Virginia","31.6","5.9","null","null","38.5","null","20.0","null","30.8","5.2","null","null",
"1500000US510411009212","Block Group 2, Census Tract 1009.21, Chesterfield County, Virginia","47.1","8.8","null","null","42.4","null","8.5","null","48.8","8.9","null","null",
"1500000US510411009213","Block Group 3, Census Tract 1009.21, Chesterfield County, Virginia","35.5","10.4","null","null","39.6","null","3.2","null","22.9","23.7","null","null",
"1500000US510411009214","Block Group 4, Census Tract 1009.21, Chesterfield County, Virginia","39.9","8.3","null","null","41.8","null","14.7","null","37.7","11.1","null","null",
"1500000US510411009221","Block Group 1, Census Tract 1009.22, Chesterfield County, Virginia","43.2","13.1","null","null","50.1","null","14.4","null","38.9","10.1","null","null",
"1500000US510411009222","Block Group 2, Census Tract 1009.22, Chesterfield County, Virginia","36.5","11.2","null","null","33.5","null","5.2","null","43.6","16.2","null","null",
"1500000US510411009223","Block Group 3, Census Tract 1009.22, Chesterfield County, Virginia","30.7","15.4","null","null","41.5","null","18.1","null","25.1","11.9","null","null",
"1500000US510411009231","Block Group 1, Census Tract 1009.23, Chesterfield County, Virginia","33.6","8.2","null","null","33.0","null","18.1","null","33.9","9.4","null","null",
"1500000US510411009232","Block Group 2, Census Tract 1009.23, Chesterfield County, Virginia","44.0","11.6","null","null","40.7","null","16.6","null","45.8","12.8","null","null",
"1500000US510411009241","Block Group 1, Census Tract 1009.24, Chesterfield County, Virginia","36.7","4.4","null","null","36.8","null","7.4","null","36.0","6.5","null","null",
"1500000US510411009242","Block Group 2, Census Tract 1009.24, Chesterfield County, Virginia","51.1","4.8","null","null","50.2","null","7.0","null","52.4","5.1","null","null",
"1500000US510411009261","Block Group 1, Census Tract 1009.26, Chesterfield County, Virginia","48.2","9.3","null","null","45.0","null","9.7","null","55.5","14.2","null","null",
"1500000US510411009262","Block Group 2, Census Tract 1009.26, Chesterfield County, Virginia","44.3","10.7","null","null","47.9","null","6.7","null","39.4","7.4","null","null",
"1500000US510411009263","Block Group 3, Census Tract 1009.26, Chesterfield County, Virginia","46.9","6.1","null","null","48.8","null","5.2","null","46.4","11.4","null","null",
"1500000US510411009264","Block Group 4, Census Tract 1009.26, Chesterfield County, Virginia","60.3","11.4","null","null","62.3","null","10.7","null","55.0","9.3","null","null",
"1500000US510411009281","Block Group 1, Census Tract 1009.28, Chesterfield County, Virginia","32.6","7.5","null","null","30.1","null","6.3","null","38.6","9.5","null","null",
"1500000US510411009282","Block Group 2, Census Tract 1009.28, Chesterfield County, Virginia","45.7","18.3","null","null","44.8","null","14.6","null","46.5","24.8","null","null",
"1500000US510411009283","Block Group 3, Census Tract 1009.28, Chesterfield County, Virginia","55.6","17.3","null","null","46.8","null","11.8","null","63.8","15.0","null","null",
"1500000US510411009291","Block Group 1, Census Tract 1009.29, Chesterfield County, Virginia","42.0","15.3","null","null","28.5","null","14.4","null","53.6","18.2","null","null",
"1500000US510411009292","Block Group 2, Census Tract 1009.29, Chesterfield County, Virginia","44.2","8.7","null","null","42.4","null","6.0","null","49.0","12.5","null","null",
"1500000US510411009293","Block Group 3, Census Tract 1009.29, Chesterfield County, Virginia","41.0","8.7","null","null","47.1","null","17.4","null","38.3","18.3","null","null",
"1500000US510411009294","Block Group 4, Census Tract 1009.29, Chesterfield County, Virginia","38.6","10.5","null","null","33.5","null","6.7","null","47.8","13.3","null","null",
"1500000US510411009301","Block Group 1, Census Tract 1009.30, Chesterfield County, Virginia","33.2","6.3","null","null","36.2","null","6.5","null","31.4","7.1","null","null",
"1500000US510411009302","Block Group 2, Census Tract 1009.30, Chesterfield County, Virginia","40.1","2.5","null","null","22.9","null","23.0","null","42.3","5.1","null","null",
"1500000US510411009311","Block Group 1, Census Tract 1009.31, Chesterfield County, Virginia","52.9","11.0","null","null","55.0","null","11.0","null","51.8","19.5","null","null",
"1500000US510411009312","Block Group 2, Census Tract 1009.31, Chesterfield County, Virginia","43.7","8.6","null","null","44.7","null","9.4","null","42.8","8.0","null","null",
"1500000US510411009313","Block Group 3, Census Tract 1009.31, Chesterfield County, Virginia","40.7","6.9","null","null","36.0","null","8.4","null","47.2","10.9","null","null",
"1500000US510411009321","Block Group 1, Census Tract 1009.32, Chesterfield County, Virginia","35.7","4.6","null","null","35.7","null","4.7","null","35.7","8.3","null","null",
"1500000US510411009322","Block Group 2, Census Tract 1009.32, Chesterfield County, Virginia","45.3","2.7","null","null","47.1","null","3.8","null","44.5","5.0","null","null",
"1500000US510411009331","Block Group 1, Census Tract 1009.33, Chesterfield County, Virginia","35.9","4.1","null","null","29.5","null","8.4","null","36.8","7.5","null","null",
"1500000US510411009332","Block Group 2, Census Tract 1009.33, Chesterfield County, Virginia","31.6","3.9","null","null","33.8","null","20.4","null","28.8","8.5","null","null",
"1500000US510411009341","Block Group 1, Census Tract 1009.34, Chesterfield County, Virginia","38.0","7.7","null","null","35.4","null","7.0","null","45.5","5.1","null","null",
"1500000US510411009342","Block Group 2, Census Tract 1009.34, Chesterfield County, Virginia","33.4","5.1","null","null","33.8","null","9.6","null","33.0","4.3","null","null",
"1500000US510411009343","Block Group 3, Census Tract 1009.34, Chesterfield County, Virginia","19.0","24.9","null","null","13.7","null","39.7","null","26.2","17.9","null","null",
"1500000US510411009344","Block Group 4, Census Tract 1009.34, Chesterfield County, Virginia","46.9","10.5","null","null","48.5","null","5.3","null","41.3","18.0","null","null",
"1500000US510411009351","Block Group 1, Census Tract 1009.35, Chesterfield County, Virginia","42.3","6.8","null","null","42.8","null","6.7","null","39.7","10.7","null","null",
"1500000US510411009352","Block Group 2, Census Tract 1009.35, Chesterfield County, Virginia","47.0","3.5","null","null","46.3","null","6.6","null","47.2","3.4","null","null",
"1500000US510411009361","Block Group 1, Census Tract 1009.36, Chesterfield County, Virginia","39.2","7.6","null","null","38.7","null","8.8","null","39.7","9.5","null","null",
"1500000US510411009362","Block Group 2, Census Tract 1009.36, Chesterfield County, Virginia","47.7","6.9","null","null","47.3","null","7.9","null","47.8","9.8","null","null",
"1500000US510411009371","Block Group 1, Census Tract 1009.37, Chesterfield County, Virginia","35.0","7.5","null","null","41.0","null","11.3","null","31.0","6.1","null","null",
"1500000US510411009372","Block Group 2, Census Tract 1009.37, Chesterfield County, Virginia","62.2","4.6","null","null","61.5","null","5.5","null","64.3","4.0","null","null",
"1500000US510411009381","Block Group 1, Census Tract 1009.38, Chesterfield County, Virginia","45.1","2.3","null","null","44.3","null","7.6","null","46.9","3.6","null","null",
"1500000US510411009382","Block Group 2, Census Tract 1009.38, Chesterfield County, Virginia","33.7","1.5","null","null","35.9","null","2.9","null","32.2","11.9","null","null",
"1500000US510411010031","Block Group 1, Census Tract 1010.03, Chesterfield County, Virginia","36.4","2.0","null","null","36.4","null","4.0","null","36.4","3.0","null","null",
"1500000US510411010032","Block Group 2, Census Tract 1010.03, Chesterfield County, Virginia","34.2","3.1","null","null","36.3","null","3.4","null","33.2","5.4","null","null",
"1500000US510411010033","Block Group 3, Census Tract 1010.03, Chesterfield County, Virginia","35.7","2.8","null","null","36.7","null","6.1","null","35.1","3.7","null","null",
"1500000US510411010034","Block Group 4, Census Tract 1010.03, Chesterfield County, Virginia","36.8","7.9","null","null","35.0","null","10.0","null","39.0","11.0","null","null",
"1500000US510411010041","Block Group 1, Census Tract 1010.04, Chesterfield County, Virginia","46.5","6.9","null","null","45.5","null","5.9","null","47.7","10.2","null","null",
"1500000US510411010042","Block Group 2, Census Tract 1010.04, Chesterfield County, Virginia","39.3","17.9","null","null","46.9","null","15.6","null","35.9","14.1","null","null",
"1500000US510411010043","Block Group 3, Census Tract 1010.04, Chesterfield County, Virginia","47.5","5.0","null","null","45.9","null","5.5","null","48.3","6.1","null","null",
"1500000US510411010071","Block Group 1, Census Tract 1010.07, Chesterfield County, Virginia","37.9","19.0","null","null","32.4","null","25.5","null","43.0","12.8","null","null",
"1500000US510411010072","Block Group 2, Census Tract 1010.07, Chesterfield County, Virginia","39.5","4.4","null","null","40.2","null","4.5","null","38.6","6.7","null","null",
"1500000US510411010073","Block Group 3, Census Tract 1010.07, Chesterfield County, Virginia","55.7","10.5","null","null","46.5","null","12.0","null","59.0","4.4","null","null",
"1500000US510411010081","Block Group 1, Census Tract 1010.08, Chesterfield County, Virginia","37.0","5.7","null","null","37.2","null","6.7","null","36.7","10.9","null","null",
"1500000US510411010082","Block Group 2, Census Tract 1010.08, Chesterfield County, Virginia","42.5","2.3","null","null","40.8","null","5.7","null","42.7","1.5","null","null",
"1500000US510411010091","Block Group 1, Census Tract 1010.09, Chesterfield County, Virginia","33.6","2.5","null","null","31.8","null","3.9","null","34.8","5.9","null","null",
"1500000US510411010092","Block Group 2, Census Tract 1010.09, Chesterfield County, Virginia","22.9","18.1","null","null","25.0","null","15.3","null","22.8","22.6","null","null",
